Model Name,Granularity,Magnification,Modality,Pretrain,Frozen,Vote,Accuracy
ResNet50,512,50x,heightmap,scratch,unfrozen,novote,45.0
ResNet50,512,50x,heightmap,scratch,unfrozen,vote,36.54
ResNet50,512,50x,heightmap,scratch,frozen,novote,36.42
ResNet50,512,50x,heightmap,scratch,frozen,vote,35.58
ResNet50,512,50x,heightmap,pretrained,unfrozen,novote,28.92
ResNet50,512,50x,heightmap,pretrained,unfrozen,vote,31.73
ResNet50,512,50x,heightmap,pretrained,frozen,novote,62.5
ResNet50,512,50x,heightmap,pretrained,frozen,vote,55.77
ResNet50,256,20x,texture,scratch,unfrozen,novote,32.35
ResNet50,256,20x,texture,scratch,unfrozen,vote,33.39
ResNet50,256,20x,texture,scratch,frozen,novote,40.24
ResNet50,256,20x,texture,scratch,frozen,vote,47.05
ResNet50,256,20x,texture,pretrained,unfrozen,novote,38.4
ResNet50,256,20x,texture,pretrained,unfrozen,vote,40.41
ResNet50,256,20x,texture,pretrained,frozen,novote,35.76
ResNet50,256,20x,texture,pretrained,frozen,vote,38.57
ResNet50,256,20x,heightmap,scratch,unfrozen,novote,39.2
ResNet50,256,20x,heightmap,scratch,unfrozen,vote,45.73
ResNet50,256,20x,heightmap,scratch,frozen,novote,37.9
ResNet50,256,20x,heightmap,scratch,frozen,vote,38.94
ResNet50,256,20x,heightmap,pretrained,unfrozen,novote,30.03
ResNet50,256,20x,heightmap,pretrained,unfrozen,vote,31.75
ResNet50,256,20x,heightmap,pretrained,frozen,novote,31.11
ResNet50,256,20x,heightmap,pretrained,frozen,vote,36.44
ResNet50,256,20x+50x,texture,scratch,unfrozen,novote,43.0
ResNet50,256,20x+50x,texture,scratch,unfrozen,vote,53.18
ResNet50,256,20x+50x,texture,scratch,frozen,novote,46.96
ResNet50,256,20x+50x,texture,scratch,frozen,vote,50.23
ResNet50,256,20x+50x,texture,pretrained,unfrozen,novote,40.61
ResNet50,256,20x+50x,texture,pretrained,unfrozen,vote,45.23
ResNet50,256,20x+50x,texture,pretrained,frozen,novote,49.82
ResNet50,256,20x+50x,texture,pretrained,frozen,vote,55.23
ResNet50,256,20x+50x,heightmap,scratch,unfrozen,novote,51.96
ResNet50,256,20x+50x,heightmap,scratch,unfrozen,vote,58.64
ResNet50,256,20x+50x,heightmap,scratch,frozen,novote,41.82
ResNet50,256,20x+50x,heightmap,scratch,frozen,vote,44.09
ResNet50,256,20x+50x,heightmap,pretrained,unfrozen,novote,45.14
ResNet50,256,20x+50x,heightmap,pretrained,unfrozen,vote,52.27
ResNet50,256,20x+50x,heightmap,pretrained,frozen,novote,56.93
ResNet50,256,20x+50x,heightmap,pretrained,frozen,vote,62.73
ResNet50,256,50x,texture,scratch,unfrozen,novote,46.0
ResNet50,256,50x,texture,scratch,unfrozen,vote,50.0
ResNet50,256,50x,texture,scratch,frozen,novote,38.35
ResNet50,256,50x,texture,scratch,frozen,vote,47.12
ResNet50,256,50x,texture,pretrained,unfrozen,novote,44.92
ResNet50,256,50x,texture,pretrained,unfrozen,vote,50.0
ResNet50,256,50x,texture,pretrained,frozen,novote,51.17
ResNet50,256,50x,texture,pretrained,frozen,vote,54.81
ResNet50,256,50x,heightmap,scratch,unfrozen,novote,40.19
ResNet50,256,50x,heightmap,scratch,unfrozen,vote,43.27
ResNet50,256,50x,heightmap,scratch,frozen,novote,35.9
ResNet50,256,50x,heightmap,scratch,frozen,vote,41.35
ResNet50,256,50x,heightmap,pretrained,unfrozen,novote,41.14
ResNet50,256,50x,heightmap,pretrained,unfrozen,vote,42.31
ResNet50,256,50x,heightmap,pretrained,frozen,novote,51.73
ResNet50,256,50x,heightmap,pretrained,frozen,vote,60.58
ResNet50,865,20x,texture,scratch,unfrozen,novote,39.45
ResNet50,865,20x,texture,scratch,unfrozen,vote,34.81
ResNet50,865,20x,texture,scratch,frozen,novote,53.03
ResNet50,865,20x,texture,scratch,frozen,vote,50.63
ResNet50,865,20x,texture,pretrained,unfrozen,novote,23.81
ResNet50,865,20x,texture,pretrained,unfrozen,vote,27.85
ResNet50,865,20x,texture,pretrained,frozen,novote,20.71
ResNet50,865,20x,texture,pretrained,frozen,vote,24.05
ResNet50,865,20x,heightmap,scratch,unfrozen,novote,12.5
ResNet50,865,20x,heightmap,scratch,unfrozen,vote,15.82
ResNet50,865,20x,heightmap,scratch,frozen,novote,37.93
ResNet50,865,20x,heightmap,scratch,frozen,vote,27.85
ResNet50,865,20x,heightmap,pretrained,unfrozen,novote,9.0
ResNet50,865,20x,heightmap,pretrained,unfrozen,vote,11.39
ResNet50,865,20x,heightmap,pretrained,frozen,novote,24.71
ResNet50,865,20x,heightmap,pretrained,frozen,vote,27.85
ResNet50,865,20x+50x,texture,scratch,unfrozen,novote,25.5
ResNet50,865,20x+50x,texture,scratch,unfrozen,vote,31.67
ResNet50,865,20x+50x,texture,scratch,frozen,novote,25.0
ResNet50,865,20x+50x,texture,scratch,frozen,vote,31.67
ResNet50,865,20x+50x,texture,pretrained,unfrozen,novote,12.5
ResNet50,865,20x+50x,texture,pretrained,unfrozen,vote,4.17
ResNet50,865,20x+50x,texture,pretrained,frozen,novote,29.0
ResNet50,865,20x+50x,texture,pretrained,frozen,vote,35.0
ResNet50,865,20x+50x,heightmap,scratch,unfrozen,novote,22.5
ResNet50,865,20x+50x,heightmap,scratch,unfrozen,vote,26.67
ResNet50,865,20x+50x,heightmap,scratch,frozen,novote,26.0
ResNet50,865,20x+50x,heightmap,scratch,frozen,vote,27.5
ResNet50,865,20x+50x,heightmap,pretrained,unfrozen,novote,22.5
ResNet50,865,20x+50x,heightmap,pretrained,unfrozen,vote,27.5
ResNet50,865,20x+50x,heightmap,pretrained,frozen,novote,47.5
ResNet50,865,20x+50x,heightmap,pretrained,frozen,vote,50.83
ResNet50,865,50x,texture,scratch,unfrozen,novote,50.5
ResNet50,865,50x,texture,scratch,unfrozen,vote,39.42
ResNet50,865,50x,texture,scratch,frozen,novote,50.5
ResNet50,865,50x,texture,scratch,frozen,vote,41.35
ResNet50,865,50x,texture,pretrained,unfrozen,novote,54.0
ResNet50,865,50x,texture,pretrained,unfrozen,vote,24.04
ResNet50,865,50x,texture,pretrained,frozen,novote,64.0
ResNet50,865,50x,texture,pretrained,frozen,vote,33.65
ResNet50,865,50x,heightmap,scratch,unfrozen,novote,65.5
ResNet50,865,50x,heightmap,scratch,unfrozen,vote,33.65
ResNet50,865,50x,heightmap,scratch,frozen,novote,50.5
ResNet50,865,50x,heightmap,scratch,frozen,vote,27.88
ResNet50,865,50x,heightmap,pretrained,unfrozen,novote,50.5
ResNet50,865,50x,heightmap,pretrained,unfrozen,vote,28.85
ResNet50,865,50x,heightmap,pretrained,frozen,novote,74.0
ResNet50,865,50x,heightmap,pretrained,frozen,vote,53.85
ConvNextLarge,512,20x,texture,scratch,unfrozen,novote,26.2
ConvNextLarge,512,20x,texture,scratch,unfrozen,vote,27.72
ConvNextLarge,512,20x,texture,scratch,frozen,novote,30.0
ConvNextLarge,512,20x,texture,scratch,frozen,vote,32.38
ConvNextLarge,512,20x,texture,pretrained,unfrozen,novote,26.2
ConvNextLarge,512,20x,texture,pretrained,unfrozen,vote,27.72
ConvNextLarge,512,20x,texture,pretrained,frozen,novote,42.63
ConvNextLarge,512,20x,texture,pretrained,frozen,vote,45.61
ConvNextLarge,512,20x,heightmap,scratch,unfrozen,novote,26.2
ConvNextLarge,512,20x,heightmap,scratch,unfrozen,vote,27.72
ConvNextLarge,512,20x,heightmap,scratch,frozen,novote,27.66
ConvNextLarge,512,20x,heightmap,scratch,frozen,vote,34.92
